algorithm,input,n,time_ms,comparisons,max_depth
MergeSort,random,1000,0,8829,8
QuickSort,random,1000,0,11176,6
MergeSort,sorted,1000,0,3340,8
QuickSort,sorted,1000,0,12478,6
MergeSort,duplicates,1000,0,8665,8
QuickSort,duplicates,1000,0,3886,3
MergeSort,random,10000,1,120283,11
QuickSort,random,10000,1,164286,8
MergeSort,sorted,10000,0,50272,11
QuickSort,sorted,10000,0,162063,9
MergeSort,duplicates,10000,2,117084,11
QuickSort,duplicates,10000,0,52029,2
MergeSort,random,100000,9,1564868,14
QuickSort,random,100000,10,2026252,11
MergeSort,sorted,100000,2,652208,14
QuickSort,sorted,100000,6,2018960,11
MergeSort,duplicates,100000,5,1526037,14
QuickSort,duplicates,100000,2,545639,2
MergeSort,random,1000000,129,19140311,18
QuickSort,random,1000000,140,26271791,14
MergeSort,sorted,1000000,32,8153536,18
QuickSort,sorted,1000000,66,25614632,14
MergeSort,duplicates,1000000,68,18657500,18
QuickSort,duplicates,1000000,26,3999914,3
